# KLIBS INFO
#  > KLibs Commit: f3114ba150b1539d5e7d18ebe5fe32efa02ee24e
#
# EXPERIMENT SETTINGS
#  > Trials Per Block: 60
#  > Blocks Per Experiment: 8
#
# SYSTEM INFO
#  > Operating System: OS X 10.11.6
#  > Python Version: 2.7.12
#
# DISPLAY INFO
#  > Screen Size: 24" diagonal
#  > Resolution: 2560x1440 @ 60Hz
#  > View Distance: 57 cm

participant	gender	age	handedness	random_seed	block_num	trial_num	search_type	stimulus_type	present_absent	set_size	target_distractor	distractor_distractor	target_time	target_onset	spatial_response	spatial_rt	temporal_response	temporal_rt
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	6	4	time	COLOR	present	NA	hetero	hetero	11	4925.13585437	NA	NA	present	4512.260388
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	6	5	time	COLOR	present	NA	hetero	hetero	5	3916.48258528	NA	NA	present	1152.98417403
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	6	6	time	COLOR	absent	NA	hetero	hetero	-1	NA	NA	NA	absent	4506.94249297
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	6	7	time	COLOR	present	NA	hetero	hetero	12	5084.14146694	NA	NA	present	4504.732384
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	6	8	time	COLOR	absent	NA	hetero	hetero	-1	NA	NA	NA	absent	4504.28934803
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	6	9	time	COLOR	absent	NA	hetero	hetero	-1	NA	NA	NA	absent	4504.18421696
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	6	10	time	COLOR	present	NA	hetero	hetero	7	4250.2071557	NA	NA	present	1653.43964001
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	7	1	space	COLOR	absent	16	homo	homo	NA	NA	absent	1647.12760004	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	7	2	space	COLOR	present	12	homo	homo	NA	NA	present	650.032263016	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	7	3	space	COLOR	absent	12	homo	homo	NA	NA	absent	1047.15608701	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	7	4	space	COLOR	absent	8	homo	homo	NA	NA	absent	950.133170991	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	7	5	space	COLOR	present	16	homo	homo	NA	NA	present	796.907685988	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	7	6	space	COLOR	present	8	homo	homo	NA	NA	absent	830.127668043	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	7	7	space	COLOR	absent	12	homo	homo	NA	NA	absent	1123.48686799	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	7	8	space	COLOR	present	8	homo	homo	NA	NA	present	902.770971006	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	7	9	space	COLOR	absent	16	homo	homo	NA	NA	absent	1103.463954	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	7	10	space	COLOR	absent	8	homo	homo	NA	NA	absent	932.58194701	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	8	1	time	COLOR	present	NA	hetero	homo	12	5086.47628926	NA	NA	present	4507.40016898
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	8	2	time	COLOR	absent	NA	hetero	homo	-1	NA	NA	NA	absent	4505.145412
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	8	3	time	COLOR	present	NA	hetero	homo	11	4917.81764979	NA	NA	present	2320.83974901
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	8	4	time	COLOR	absent	NA	hetero	homo	-1	NA	NA	NA	absent	4504.09998896
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	8	5	time	COLOR	absent	NA	hetero	homo	-1	NA	NA	NA	absent	4505.54485503
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	8	6	time	COLOR	present	NA	hetero	homo	12	5084.04219425	NA	NA	present	4504.32910601
